                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    210,                 0.0905,                 0.9514,                      1,                0.36481,             0.00034467,             0.00034467,             0.00034467
                    211,                0.09016,                0.96449,                      1,                0.35333,              0.0003429,              0.0003429,              0.0003429
                    212,                0.08147,                0.95327,                      1,                0.36627,             0.00034113,             0.00034113,             0.00034113
                    213,                0.09582,                0.96636,                      1,                0.34882,             0.00033936,             0.00033936,             0.00033936
                    214,                0.09653,                0.96542,                      1,                0.35242,              0.0003376,              0.0003376,              0.0003376
                    215,                0.08767,                0.93271,                      1,                0.37982,             0.00033583,             0.00033583,             0.00033583
                    216,                0.07643,                0.93364,                      1,                0.38098,             0.00033406,             0.00033406,             0.00033406
                    217,                0.07833,                0.97103,                      1,                0.34357,              0.0003323,              0.0003323,              0.0003323
                    218,                 0.0995,                0.97196,                      1,                0.34326,             0.00033053,             0.00033053,             0.00033053
                    219,                0.08147,                0.95888,                      1,                0.35645,             0.00032876,             0.00032876,             0.00032876
                    220,                0.07581,                0.97009,                      1,                0.34955,             0.00032699,             0.00032699,             0.00032699
                    221,                0.07331,                0.97009,                      1,                 0.3504,             0.00032523,             0.00032523,             0.00032523
                    222,                0.07969,                0.97009,                      1,                0.34058,             0.00032346,             0.00032346,             0.00032346
                    223,                0.07736,                0.96822,                      1,                0.34839,             0.00032169,             0.00032169,             0.00032169
                    224,                0.08371,                0.97103,                      1,                0.34668,             0.00031993,             0.00031993,             0.00031993
                    225,                0.09108,                0.97383,                      1,                0.34326,             0.00031816,             0.00031816,             0.00031816
                    226,                0.07644,                0.96075,                      1,                0.36011,             0.00031639,             0.00031639,             0.00031639
                    227,                0.09163,                0.94953,                      1,                0.36371,             0.00031462,             0.00031462,             0.00031462
                    228,                0.08273,                0.93271,                      1,                0.38269,             0.00031286,             0.00031286,             0.00031286
                    229,                0.08443,                0.97196,                      1,                0.34296,             0.00031109,             0.00031109,             0.00031109
                    230,                0.07677,                0.96916,                      1,                0.34998,             0.00030932,             0.00030932,             0.00030932
                    231,                0.08219,                0.96729,                      1,                0.34851,             0.00030756,             0.00030756,             0.00030756
                    232,                 0.0925,                0.97009,                      1,                0.34375,             0.00030579,             0.00030579,             0.00030579
                    233,                0.05582,                0.97103,                      1,                0.34412,             0.00030402,             0.00030402,             0.00030402
                    234,                 0.0729,                0.97196,                      1,                0.34235,             0.00030225,             0.00030225,             0.00030225
                    235,                0.07846,                 0.9729,                      1,                0.34235,             0.00030049,             0.00030049,             0.00030049
                    236,                0.07458,                 0.9757,                      1,                0.34015,             0.00029872,             0.00029872,             0.00029872
                    237,                0.08881,                 0.9757,                      1,                0.34161,             0.00029695,             0.00029695,             0.00029695
                    238,                0.07313,                 0.9757,                      1,                0.34534,             0.00029519,             0.00029519,             0.00029519
                    239,                0.06609,                0.97196,                      1,                0.34735,             0.00029342,             0.00029342,             0.00029342
                    240,                0.08442,                0.97103,                      1,                0.34625,             0.00029165,             0.00029165,             0.00029165
                    241,                0.08345,                0.97477,                      1,                0.34406,             0.00028988,             0.00028988,             0.00028988
                    242,                0.08834,                0.96168,                      1,                0.35333,             0.00028812,             0.00028812,             0.00028812
                    243,                0.07383,                0.97009,                      1,                0.34314,             0.00028635,             0.00028635,             0.00028635
                    244,                0.08183,                0.97009,                      1,                0.34729,             0.00028458,             0.00028458,             0.00028458
                    245,                 0.0567,                0.97103,                      1,                0.34497,             0.00028282,             0.00028282,             0.00028282
                    246,                0.08021,                0.97383,                      1,                0.34424,             0.00028105,             0.00028105,             0.00028105
                    247,                0.06142,                0.97196,                      1,                0.34052,             0.00027928,             0.00027928,             0.00027928
                    248,                0.06927,                0.96262,                      1,                0.34985,             0.00027751,             0.00027751,             0.00027751
                    249,                0.06475,                0.96542,                      1,                 0.3501,             0.00027575,             0.00027575,             0.00027575
                    250,                0.05498,                0.97196,                      1,                0.34393,             0.00027398,             0.00027398,             0.00027398
                    251,                0.06671,                0.96916,                      1,                0.34625,             0.00027221,             0.00027221,             0.00027221
                    252,                0.08697,                0.96636,                      1,                0.34845,             0.00027045,             0.00027045,             0.00027045
                    253,                0.09085,                0.96168,                      1,                0.35004,             0.00026868,             0.00026868,             0.00026868
                    254,                0.08149,                0.96916,                      1,                0.34344,             0.00026691,             0.00026691,             0.00026691
                    255,                0.07473,                 0.9514,                      1,                0.36572,             0.00026514,             0.00026514,             0.00026514
                    256,                0.07205,                0.97477,                      1,                0.34705,             0.00026338,             0.00026338,             0.00026338
                    257,                0.07563,                0.95981,                      1,                0.35614,             0.00026161,             0.00026161,             0.00026161
                    258,                0.07088,                 0.9729,                      1,                 0.3418,             0.00025984,             0.00025984,             0.00025984
                    259,                0.06988,                0.97103,                      1,                 0.3418,             0.00025808,             0.00025808,             0.00025808
                    260,                0.07583,                 0.9757,                      1,                 0.3374,             0.00025631,             0.00025631,             0.00025631
                    261,                0.07123,                0.97103,                      1,                0.34424,             0.00025454,             0.00025454,             0.00025454
                    262,                0.07873,                0.97103,                      1,                0.34332,             0.00025277,             0.00025277,             0.00025277
                    263,                0.06976,                0.97383,                      1,                0.34607,             0.00025101,             0.00025101,             0.00025101
                    264,                0.07488,                0.97477,                      1,                0.34619,             0.00024924,             0.00024924,             0.00024924
                    265,                0.06308,                0.97477,                      1,                0.34357,             0.00024747,             0.00024747,             0.00024747
                    266,                0.07416,                0.97477,                      1,                0.34119,             0.00024571,             0.00024571,             0.00024571
                    267,                 0.0764,                0.97009,                      1,                0.34167,             0.00024394,             0.00024394,             0.00024394
                    268,                0.07511,                0.97477,                      1,                 0.3407,             0.00024217,             0.00024217,             0.00024217
                    269,                0.05531,                0.97009,                      1,                0.34271,              0.0002404,              0.0002404,              0.0002404
                    270,                0.06188,                0.96729,                      1,                0.34772,             0.00023864,             0.00023864,             0.00023864
                    271,                0.06405,                0.96636,                      1,                0.34521,             0.00023687,             0.00023687,             0.00023687
                    272,                0.08194,                 0.9757,                      1,                0.34113,              0.0002351,              0.0002351,              0.0002351
                    273,                0.06528,                0.97196,                      1,                0.34583,             0.00023334,             0.00023334,             0.00023334
                    274,                0.06138,                0.97477,                      1,                0.34082,             0.00023157,             0.00023157,             0.00023157
                    275,                0.06375,                 0.9729,                      1,                0.34326,              0.0002298,              0.0002298,              0.0002298
                    276,                0.06645,                0.97477,                      1,                0.34167,             0.00022803,             0.00022803,             0.00022803
                    277,                0.08124,                0.97009,                      1,                0.34698,             0.00022627,             0.00022627,             0.00022627
                    278,                0.06859,                0.96729,                      1,                 0.3504,              0.0002245,              0.0002245,              0.0002245
                    279,                0.06197,                0.96542,                      1,                0.34705,             0.00022273,             0.00022273,             0.00022273
                    280,                 0.0711,                0.97103,                      1,                0.34821,             0.00022097,             0.00022097,             0.00022097
                    281,                0.06543,                0.95514,                      1,                0.36005,              0.0002192,              0.0002192,              0.0002192
                    282,                0.07995,                0.96262,                      1,                0.35248,             0.00021743,             0.00021743,             0.00021743
                    283,                0.07444,                0.96729,                      1,                 0.3432,             0.00021566,             0.00021566,             0.00021566
                    284,                0.06648,                 0.9729,                      1,                0.34058,              0.0002139,              0.0002139,              0.0002139
                    285,                0.06522,                0.97664,                      1,                0.33942,             0.00021213,             0.00021213,             0.00021213
                    286,                0.05593,                0.97757,                      1,                0.34027,             0.00021036,             0.00021036,             0.00021036
                    287,                0.06163,                0.97664,                      1,                 0.3399,              0.0002086,              0.0002086,              0.0002086
                    288,                0.07208,                0.97196,                      1,                0.34418,             0.00020683,             0.00020683,             0.00020683
